?Format,Metric,Year,Number of Records,Value (Actual)
CD Single,Units,2001,1,17.3
CD Single,Units,2002,1,4.5
CD Single,Units,2003,1,8.3
CD Single,Units,2004,1,3.1
CD Single,Units,2005,1,2.8
CD Single,Units,2006,1,1.7
CD Single,Units,2007,1,2.6
CD Single,Units,2008,1,0.7
CD Single,Units,2009,1,0.9
CD Single,Units,2010,1,1
CD Single,Units,2011,1,1.3
CD Single,Units,2012,1,1.072870407
CD Single,Units,2013,1,0.628895398
CD Single,Units,2014,1,0.928725116
CD Single,Units,2015,1,0.386721563
CD Single,Units,2016,1,0.121745255
CD Single,Units,2017,1,0.13261663
CD Single,Units,2018,1,0.020854078
CD Single,Units,2019,1,0.026257455
Cassette,Units,1973,1,15
Cassette,Units,1974,1,15.3
Cassette,Units,1975,1,16.2
Cassette,Units,1976,1,21.8
Cassette,Units,1977,1,36.9
Cassette,Units,1978,1,61.3
Cassette,Units,1979,1,78.5
Cassette,Units,1980,1,99
Cassette,Units,1981,1,124
Cassette,Units,1982,1,183.2
Cassette,Units,1983,1,236.8
Cassette,Units,1984,1,332
Cassette,Units,1985,1,339.1
Cassette,Units,1986,1,344.5
Cassette,Units,1987,1,410
Cassette,Units,1988,1,450.1
Cassette,Units,1989,1,446.2
Cassette,Units,1990,1,442.2
Cassette,Units,1991,1,360.1
Cassette,Units,1992,1,366.4
Cassette,Units,1993,1,339.5
Cassette,Units,1994,1,345.4
Cassette,Units,1995,1,272.6
Cassette,Units,1996,1,225.3
Cassette,Units,1997,1,172.6
Cassette,Units,1998,1,158.5
Cassette,Units,1999,1,123.6
Cassette,Units,2000,1,76
Cassette,Units,2001,1,45
Cassette,Units,2002,1,31.1
Cassette,Units,2003,1,17.2
Cassette,Units,2004,1,5.2
Cassette,Units,2005,1,2.5
Cassette,Units,2006,1,0.7
Cassette,Units,2007,1,0.4
Cassette,Units,2008,1,0.1
Cassette,Units,2009,1,0
Cassette,Units,2010,1,0
Cassette,Units,2011,1,0
Cassette,Units,2012,1,
Cassette,Units,2013,1,
Cassette,Units,2014,1,
Cassette,Units,2015,1,
Cassette,Units,2016,1,
Cassette,Units,2017,1,
Cassette,Units,2018,1,
Cassette,Units,2019,1,
Cassette Single,Units,1973,1,
Cassette Single,Units,1974,1,
Cassette Single,Units,1975,1,
Cassette Single,Units,1976,1,
Cassette Single,Units,1977,1,
Cassette Single,Units,1978,1,
Cassette Single,Units,1979,1,
Cassette Single,Units,1980,1,
Cassette Single,Units,1981,1,
Cassette Single,Units,1982,1,
Cassette Single,Units,1983,1,
Cassette Single,Units,1984,1,
Cassette Single,Units,1985,1,
Cassette Single,Units,1986,1,
Cassette Single,Units,1987,1,5.1
Cassette Single,Units,1988,1,22.5
Cassette Single,Units,1989,1,76.2
Cassette Single,Units,1990,1,87.4
Cassette Single,Units,1991,1,69
Cassette Single,Units,1992,1,84.6
Cassette Single,Units,1993,1,85.6
Cassette Single,Units,1994,1,81.1
Cassette Single,Units,1995,1,70.7
Cassette Single,Units,1996,1,59.9
Cassette Single,Units,1997,1,42.2
Cassette Single,Units,1998,1,26.4
Cassette Single,Units,1999,1,14.2
Cassette Single,Units,2000,1,1.3
Cassette Single,Units,2001,1,-1.5
Cassette Single,Units,2002,1,-0.5
Cassette Single,Units,2003,1,0
Cassette Single,Units,2004,1,0
Cassette Single,Units,2005,1,0
Cassette Single,Units,2006,1,0
Cassette Single,Units,2007,1,0
Cassette Single,Units,2008,1,0
Cassette Single,Units,2009,1,0
Cassette Single,Units,2010,1,0
Cassette Single,Units,2011,1,0
Cassette Single,Units,2012,1,
Cassette Single,Units,2013,1,
Cassette Single,Units,2014,1,
Cassette Single,Units,2015,1,
Cassette Single,Units,2016,1,
Cassette Single,Units,2017,1,
Cassette Single,Units,2018,1,
Cassette Single,Units,2019,1,
LP/EP,Units,1973,1,280
LP/EP,Units,1974,1,276
LP/EP,Units,1975,1,257
LP/EP,Units,1976,1,273
LP/EP,Units,1977,1,344
LP/EP,Units,1978,1,341.3
LP/EP,Units,1979,1,290
LP/EP,Units,1980,1,308
LP/EP,Units,1981,1,295.2
LP/EP,Units,1982,1,243.9
LP/EP,Units,1983,1,209.6
LP/EP,Units,1984,1,204.6
LP/EP,Units,1985,1,167
LP/EP,Units,1986,1,125.2
LP/EP,Units,1987,1,107
LP/EP,Units,1988,1,72.4
LP/EP,Units,1989,1,34.6
LP/EP,Units,1990,1,11.7
LP/EP,Units,1991,1,4.8
LP/EP,Units,1992,1,2.3
LP/EP,Units,1993,1,1.2
LP/EP,Units,1994,1,1.9
LP/EP,Units,1995,1,2.2
LP/EP,Units,1996,1,2.9
LP/EP,Units,1997,1,2.7
LP/EP,Units,1998,1,3.4
LP/EP,Units,1999,1,2.9
LP/EP,Units,2000,1,2.2
LP/EP,Units,2001,1,2.3
LP/EP,Units,2002,1,1.743
LP/EP,Units,2003,1,1.5
LP/EP,Units,2004,1,1.4
LP/EP,Units,2005,1,1
LP/EP,Units,2006,1,0.9
LP/EP,Units,2007,1,1.3
LP/EP,Units,2008,1,2.9
LP/EP,Units,2009,1,3.5
LP/EP,Units,2010,1,4.2
LP/EP,Units,2011,1,5.5
LP/EP,Units,2012,1,6.915365189
LP/EP,Units,2013,1,9.35128587
LP/EP,Units,2014,1,10.31556391
LP/EP,Units,2015,1,13.68102972
LP/EP,Units,2016,1,14.77088603
LP/EP,Units,2017,1,15.55608917
LP/EP,Units,2018,1,16.67012733
LP/EP,Units,2019,1,19.10316283
Vinyl Single,Units,1973,1,228
Vinyl Single,Units,1974,1,204
Vinyl Single,Units,1975,1,164
Vinyl Single,Units,1976,1,190
Vinyl Single,Units,1977,1,190
Vinyl Single,Units,1978,1,190
Vinyl Single,Units,1979,1,212
Vinyl Single,Units,1980,1,157
Vinyl Single,Units,1981,1,154.7
Vinyl Single,Units,1982,1,137.2
Vinyl Single,Units,1983,1,124.8
Vinyl Single,Units,1984,1,131.5
Vinyl Single,Units,1985,1,120.7
Vinyl Single,Units,1986,1,93.9
Vinyl Single,Units,1987,1,82
Vinyl Single,Units,1988,1,65.6
Vinyl Single,Units,1989,1,36.6
Vinyl Single,Units,1990,1,27.6
Vinyl Single,Units,1991,1,22
Vinyl Single,Units,1992,1,19.8
Vinyl Single,Units,1993,1,15.1
Vinyl Single,Units,1994,1,11.7
Vinyl Single,Units,1995,1,10.2
Vinyl Single,Units,1996,1,10.1
Vinyl Single,Units,1997,1,7.5
Vinyl Single,Units,1998,1,5.4
Vinyl Single,Units,1999,1,5.3
Vinyl Single,Units,2000,1,4.8
Vinyl Single,Units,2001,1,5.5
Vinyl Single,Units,2002,1,4.4
Vinyl Single,Units,2003,1,3.8
Vinyl Single,Units,2004,1,3.5
Vinyl Single,Units,2005,1,2.3
Vinyl Single,Units,2006,1,1.5
Vinyl Single,Units,2007,1,0.6
Vinyl Single,Units,2008,1,0.4
Vinyl Single,Units,2009,1,0.3
Vinyl Single,Units,2010,1,0.3
Vinyl Single,Units,2011,1,0.4
Vinyl Single,Units,2012,1,0.388573687
Vinyl Single,Units,2013,1,0.315817054
Vinyl Single,Units,2014,1,0.481198278
Vinyl Single,Units,2015,1,0.50786991
Vinyl Single,Units,2016,1,0.404330651
Vinyl Single,Units,2017,1,0.402959365
Vinyl Single,Units,2018,1,0.346165002
Vinyl Single,Units,2019,1,0.336120488
8 - Track,Units,1973,1,91
8 - Track,Units,1974,1,96.7
8 - Track,Units,1975,1,94.6
8 - Track,Units,1976,1,106.1
8 - Track,Units,1977,1,127.3
8 - Track,Units,1978,1,133.6
8 - Track,Units,1979,1,102.3
8 - Track,Units,1980,1,85
8 - Track,Units,1981,1,50
8 - Track,Units,1982,1,13.7
8 - Track,Units,1983,1,0
8 - Track,Units,1984,1,0
8 - Track,Units,1985,1,0
8 - Track,Units,1986,1,0
8 - Track,Units,1987,1,0
8 - Track,Units,1988,1,0
8 - Track,Units,1989,1,0
8 - Track,Units,1990,1,0
8 - Track,Units,1991,1,0
8 - Track,Units,1992,1,0
8 - Track,Units,1993,1,0
8 - Track,Units,1994,1,0
8 - Track,Units,1995,1,0
8 - Track,Units,1996,1,0
8 - Track,Units,1997,1,0
8 - Track,Units,1998,1,0
8 - Track,Units,1999,1,0
8 - Track,Units,2000,1,0
8 - Track,Units,2001,1,0
8 - Track,Units,2002,1,0
8 - Track,Units,2003,1,0
8 - Track,Units,2004,1,0
8 - Track,Units,2005,1,0
8 - Track,Units,2006,1,0
8 - Track,Units,2007,1,0
8 - Track,Units,2008,1,0
8 - Track,Units,2009,1,0
8 - Track,Units,2010,1,0
8 - Track,Units,2011,1,0
8 - Track,Units,2012,1,
8 - Track,Units,2013,1,
8 - Track,Units,2014,1,
8 - Track,Units,2015,1,
8 - Track,Units,2016,1,
8 - Track,Units,2017,1,
8 - Track,Units,2018,1,
8 - Track,Units,2019,1,
Other Tapes,Units,1973,1,2.2
Other Tapes,Units,1974,1,1.9
Other Tapes,Units,1975,1,1.5
Other Tapes,Units,1976,1,0.7
Other Tapes,Units,1977,1,0
Other Tapes,Units,1978,1,0
Other Tapes,Units,1979,1,0
Other Tapes,Units,1980,1,0
Other Tapes,Units,1981,1,0
Other Tapes,Units,1982,1,0
Other Tapes,Units,1983,1,0
Other Tapes,Units,1984,1,0
Other Tapes,Units,1985,1,0
Other Tapes,Units,1986,1,0
Other Tapes,Units,1987,1,0
Other Tapes,Units,1988,1,0
Other Tapes,Units,1989,1,0
Other Tapes,Units,1990,1,0
Other Tapes,Units,1991,1,0
Other Tapes,Units,1992,1,0
Other Tapes,Units,1993,1,0
Other Tapes,Units,1994,1,0
Other Tapes,Units,1995,1,0
Other Tapes,Units,1996,1,0
Other Tapes,Units,1997,1,0
Other Tapes,Units,1998,1,0
Other Tapes,Units,1999,1,0
Other Tapes,Units,2000,1,0
Other Tapes,Units,2001,1,0
Other Tapes,Units,2002,1,0
Other Tapes,Units,2003,1,0
Other Tapes,Units,2004,1,0
Other Tapes,Units,2005,1,0
Other Tapes,Units,2006,1,0
Other Tapes,Units,2007,1,0
Other Tapes,Units,2008,1,0
Other Tapes,Units,2009,1,0
Other Tapes,Units,2010,1,0
Other Tapes,Units,2011,1,0
Other Tapes,Units,2012,1,
Other Tapes,Units,2013,1,
Other Tapes,Units,2014,1,
Other Tapes,Units,2015,1,
Other Tapes,Units,2016,1,
Other Tapes,Units,2017,1,
Other Tapes,Units,2018,1,
Other Tapes,Units,2019,1,
Music Video (Physical),Units,1973,1,
Music Video (Physical),Units,1974,1,
Music Video (Physical),Units,1975,1,
Music Video (Physical),Units,1976,1,
Music Video (Physical),Units,1977,1,
Music Video (Physical),Units,1978,1,
Music Video (Physical),Units,1979,1,
Music Video (Physical),Units,1980,1,
Music Video (Physical),Units,1981,1,
Music Video (Physical),Units,1982,1,
Music Video (Physical),Units,1983,1,
Music Video (Physical),Units,1984,1,
Music Video (Physical),Units,1985,1,
Music Video (Physical),Units,1986,1,
Music Video (Physical),Units,1987,1,
Music Video (Physical),Units,1988,1,
Music Video (Physical),Units,1989,1,6.1
Music Video (Physical),Units,1990,1,9.2
Music Video (Physical),Units,1991,1,6.1
Music Video (Physical),Units,1992,1,7.6
Music Video (Physical),Units,1993,1,11
Music Video (Physical),Units,1994,1,11.2
Music Video (Physical),Units,1995,1,12.6
Music Video (Physical),Units,1996,1,16.9
Music Video (Physical),Units,1997,1,18.6
Music Video (Physical),Units,1998,1,27.2
Music Video (Physical),Units,1999,1,19.8
Music Video (Physical),Units,2000,1,18.2
Music Video (Physical),Units,2001,1,17.7
Music Video (Physical),Units,2002,1,14.7
Music Video (Physical),Units,2003,1,19.9
Music Video (Physical),Units,2004,1,32.8
Music Video (Physical),Units,2005,1,33.8
Music Video (Physical),Units,2006,1,23.2
Music Video (Physical),Units,2007,1,27.5
Music Video (Physical),Units,2008,1,13.2
Music Video (Physical),Units,2009,1,11.6
Music Video (Physical),Units,2010,1,9.1
Music Video (Physical),Units,2011,1,7.7
Music Video (Physical),Units,2012,1,6.032725467
Music Video (Physical),Units,2013,1,4.814626524
Music Video (Physical),Units,2014,1,4.065323601
Music Video (Physical),Units,2015,1,3.133228006
Music Video (Physical),Units,2016,1,2.495531725
Music Video (Physical),Units,2017,1,1.87712837
Music Video (Physical),Units,2018,1,1.395058021
Music Video (Physical),Units,2019,1,1.32294236
DVD Audio,Units,1973,1,
DVD Audio,Units,1974,1,
DVD Audio,Units,1975,1,
DVD Audio,Units,1976,1,
DVD Audio,Units,1977,1,
DVD Audio,Units,1978,1,
DVD Audio,Units,1979,1,
DVD Audio,Units,1980,1,
DVD Audio,Units,1981,1,
DVD Audio,Units,1982,1,
DVD Audio,Units,1983,1,
DVD Audio,Units,1984,1,
DVD Audio,Units,1985,1,
DVD Audio,Units,1986,1,
DVD Audio,Units,1987,1,
DVD Audio,Units,1988,1,
DVD Audio,Units,1989,1,
DVD Audio,Units,1990,1,
DVD Audio,Units,1991,1,
DVD Audio,Units,1992,1,
DVD Audio,Units,1993,1,
DVD Audio,Units,1994,1,
DVD Audio,Units,1995,1,
DVD Audio,Units,1996,1,
DVD Audio,Units,1997,1,
DVD Audio,Units,1998,1,
DVD Audio,Units,1999,1,
DVD Audio,Units,2000,1,
DVD Audio,Units,2001,1,0.263
DVD Audio,Units,2002,1,0.43
DVD Audio,Units,2003,1,0.4
DVD Audio,Units,2004,1,0.3
DVD Audio,Units,2005,1,0.5
DVD Audio,Units,2006,1,0.1
DVD Audio,Units,2007,1,0.2
DVD Audio,Units,2008,1,0.04
DVD Audio,Units,2009,1,0.1
DVD Audio,Units,2010,1,0.04
DVD Audio,Units,2011,1,0.01
DVD Audio,Units,2012,1,0.008533145
DVD Audio,Units,2013,1,-0.054735168
DVD Audio,Units,2014,1,0.066542722
DVD Audio,Units,2015,1,0.179506738
DVD Audio,Units,2016,1,0.085898932
DVD Audio,Units,2017,1,0.061332251
DVD Audio,Units,2018,1,0.092803246
DVD Audio,Units,2019,1,0.027982262
SACD,Units,1973,1,
SACD,Units,1974,1,
SACD,Units,1975,1,
SACD,Units,1976,1,
SACD,Units,1977,1,
SACD,Units,1978,1,
SACD,Units,1979,1,
SACD,Units,1980,1,
SACD,Units,1981,1,
SACD,Units,1982,1,
SACD,Units,1983,1,
SACD,Units,1984,1,
SACD,Units,1985,1,
SACD,Units,1986,1,
SACD,Units,1987,1,
SACD,Units,1988,1,
SACD,Units,1989,1,
SACD,Units,1990,1,
SACD,Units,1991,1,
SACD,Units,1992,1,
SACD,Units,1993,1,
SACD,Units,1994,1,
SACD,Units,1995,1,
SACD,Units,1996,1,
SACD,Units,1997,1,
SACD,Units,1998,1,
SACD,Units,1999,1,
SACD,Units,2000,1,
SACD,Units,2001,1,
SACD,Units,2002,1,
SACD,Units,2003,1,1.3
SACD,Units,2004,1,0.8
SACD,Units,2005,1,0.5
SACD,Units,2006,1,0.3
SACD,Units,2007,1,0.2
SACD,Units,2008,1,0.1
SACD,Units,2009,1,0.1
SACD,Units,2010,1,0.1
SACD,Units,2011,1,0.1
SACD,Units,2012,1,0.065446
SACD,Units,2013,1,0.044683
SACD,Units,2014,1,0.030486
SACD,Units,2015,1,0.041633
SACD,Units,2016,1,0.045272
SACD,Units,2017,1,0.032749
SACD,Units,2018,1,0.032804
SACD,Units,2019,1,0.017654
Download Single,Units,1973,1,
Download Single,Units,1974,1,
Download Single,Units,1975,1,
Download Single,Units,1976,1,
Download Single,Units,1977,1,
Download Single,Units,1978,1,
Download Single,Units,1979,1,
Download Single,Units,1980,1,
Download Single,Units,1981,1,
Download Single,Units,1982,1,
Download Single,Units,1983,1,
Download Single,Units,1984,1,
Download Single,Units,1985,1,
Download Single,Units,1986,1,
Download Single,Units,1987,1,
Download Single,Units,1988,1,
Download Single,Units,1989,1,
Download Single,Units,1990,1,
Download Single,Units,1991,1,
Download Single,Units,1992,1,
Download Single,Units,1993,1,
Download Single,Units,1994,1,
Download Single,Units,1995,1,
Download Single,Units,1996,1,
Download Single,Units,1997,1,
Download Single,Units,1998,1,
Download Single,Units,1999,1,
Download Single,Units,2000,1,
Download Single,Units,2001,1,
Download Single,Units,2002,1,
Download Single,Units,2003,1,
Download Single,Units,2004,1,139.4
Download Single,Units,2005,1,366.9
Download Single,Units,2006,1,586.4
Download Single,Units,2007,1,819.4
Download Single,Units,2008,1,"1,042.70"
Download Single,Units,2009,1,"1,124.40"
Download Single,Units,2010,1,"1,177.40"
Download Single,Units,2011,1,"1,332.30"
Download Single,Units,2012,1,"1,402.74"
Download Single,Units,2013,1,"1,332.80"
Download Single,Units,2014,1,"1,154.38"
Download Single,Units,2015,1,986.2550359
Download Single,Units,2016,1,743.0034138
Download Single,Units,2017,1,553.5161518
Download Single,Units,2018,1,399.7738523
Download Single,Units,2019,1,335.3391935
Download Album,Units,1973,1,
Download Album,Units,1974,1,
Download Album,Units,1975,1,
Download Album,Units,1976,1,
Download Album,Units,1977,1,
Download Album,Units,1978,1,
Download Album,Units,1979,1,
Download Album,Units,1980,1,
Download Album,Units,1981,1,
Download Album,Units,1982,1,
Download Album,Units,1983,1,
Download Album,Units,1984,1,
Download Album,Units,1985,1,
Download Album,Units,1986,1,
Download Album,Units,1987,1,
Download Album,Units,1988,1,
Download Album,Units,1989,1,
Download Album,Units,1990,1,
Download Album,Units,1991,1,
Download Album,Units,1992,1,
Download Album,Units,1993,1,
Download Album,Units,1994,1,
Download Album,Units,1995,1,
Download Album,Units,1996,1,
Download Album,Units,1997,1,
Download Album,Units,1998,1,
Download Album,Units,1999,1,
Download Album,Units,2000,1,
Download Album,Units,2001,1,
Download Album,Units,2002,1,
Download Album,Units,2003,1,
Download Album,Units,2004,1,4.6
Download Album,Units,2005,1,13.6
Download Album,Units,2006,1,27.6
Download Album,Units,2007,1,49.8
Download Album,Units,2008,1,63.6
Download Album,Units,2009,1,74.5
Download Album,Units,2010,1,85.8
Download Album,Units,2011,1,103.9
Download Album,Units,2012,1,116.7336318
Download Album,Units,2013,1,117.979213
Download Album,Units,2014,1,114.2304708
Download Album,Units,2015,1,106.7838841
Download Album,Units,2016,1,85.12334989
Download Album,Units,2017,1,66.38610376
Download Album,Units,2018,1,49.73492454
Download Album,Units,2019,1,40.20271234
Kiosk,Units,1973,1,
Kiosk,Units,1974,1,
Kiosk,Units,1975,1,
Kiosk,Units,1976,1,
Kiosk,Units,1977,1,
Kiosk,Units,1978,1,
Kiosk,Units,1979,1,
Kiosk,Units,1980,1,
Kiosk,Units,1981,1,
Kiosk,Units,1982,1,
Kiosk,Units,1983,1,
Kiosk,Units,1984,1,
Kiosk,Units,1985,1,
Kiosk,Units,1986,1,
Kiosk,Units,1987,1,
Kiosk,Units,1988,1,
Kiosk,Units,1989,1,
Kiosk,Units,1990,1,
Kiosk,Units,1991,1,
Kiosk,Units,1992,1,
Kiosk,Units,1993,1,
Kiosk,Units,1994,1,
Kiosk,Units,1995,1,
Kiosk,Units,1996,1,
Kiosk,Units,1997,1,
Kiosk,Units,1998,1,
Kiosk,Units,1999,1,
Kiosk,Units,2000,1,
Kiosk,Units,2001,1,
Kiosk,Units,2002,1,
Kiosk,Units,2003,1,
Kiosk,Units,2004,1,
Kiosk,Units,2005,1,0.7
Kiosk,Units,2006,1,1.4
Kiosk,Units,2007,1,1.8
Kiosk,Units,2008,1,1.6
Kiosk,Units,2009,1,1.7
Kiosk,Units,2010,1,1.7
Kiosk,Units,2011,1,1.3
Kiosk,Units,2012,1,1.95507
Kiosk,Units,2013,1,3.7442
Kiosk,Units,2014,1,1.592073358
Kiosk,Units,2015,1,2.202659889
Kiosk,Units,2016,1,1.74878121
Kiosk,Units,2017,1,1.322377717
Kiosk,Units,2018,1,1.097856529
Kiosk,Units,2019,1,0.899703865
Download Music Video,Units,1973,1,
Download Music Video,Units,1974,1,
Download Music Video,Units,1975,1,
Download Music Video,Units,1976,1,
Download Music Video,Units,1977,1,
Download Music Video,Units,1978,1,
Download Music Video,Units,1979,1,
Download Music Video,Units,1980,1,
Download Music Video,Units,1981,1,
Download Music Video,Units,1982,1,
Download Music Video,Units,1983,1,
Download Music Video,Units,1984,1,
Download Music Video,Units,1985,1,
Download Music Video,Units,1986,1,
Download Music Video,Units,1987,1,
Download Music Video,Units,1988,1,
Download Music Video,Units,1989,1,
Download Music Video,Units,1990,1,
Download Music Video,Units,1991,1,
Download Music Video,Units,1992,1,
Download Music Video,Units,1993,1,
Download Music Video,Units,1994,1,
Download Music Video,Units,1995,1,
Download Music Video,Units,1996,1,
Download Music Video,Units,1997,1,
Download Music Video,Units,1998,1,
Download Music Video,Units,1999,1,
Download Music Video,Units,2000,1,
Download Music Video,Units,2001,1,
Download Music Video,Units,2002,1,
Download Music Video,Units,2003,1,
Download Music Video,Units,2004,1,
Download Music Video,Units,2005,1,1.9
Download Music Video,Units,2006,1,9.9
Download Music Video,Units,2007,1,14.2
Download Music Video,Units,2008,1,20.8
Download Music Video,Units,2009,1,20.5
Download Music Video,Units,2010,1,18.4
Download Music Video,Units,2011,1,16.3
Download Music Video,Units,2012,1,10.473489
Download Music Video,Units,2013,1,8.412464
Download Music Video,Units,2014,1,6.82264392
Download Music Video,Units,2015,1,3.223325002
Download Music Video,Units,2016,1,2.145427196
Download Music Video,Units,2017,1,1.399889693
Download Music Video,Units,2018,1,1.115985226
Download Music Video,Units,2019,1,0.93412583
Ringtones & Ringbacks,Units,1973,1,
Ringtones & Ringbacks,Units,1974,1,
Ringtones & Ringbacks,Units,1975,1,
Ringtones & Ringbacks,Units,1976,1,
Ringtones & Ringbacks,Units,1977,1,
Ringtones & Ringbacks,Units,1978,1,
Ringtones & Ringbacks,Units,1979,1,
Ringtones & Ringbacks,Units,1980,1,
Ringtones & Ringbacks,Units,1981,1,
Ringtones & Ringbacks,Units,1982,1,
Ringtones & Ringbacks,Units,1983,1,
Ringtones & Ringbacks,Units,1984,1,
Ringtones & Ringbacks,Units,1985,1,
Ringtones & Ringbacks,Units,1986,1,
Ringtones & Ringbacks,Units,1987,1,
Ringtones & Ringbacks,Units,1988,1,
Ringtones & Ringbacks,Units,1989,1,
Ringtones & Ringbacks,Units,1990,1,
Ringtones & Ringbacks,Units,1991,1,
Ringtones & Ringbacks,Units,1992,1,
Ringtones & Ringbacks,Units,1993,1,
Ringtones & Ringbacks,Units,1994,1,
Ringtones & Ringbacks,Units,1995,1,
Ringtones & Ringbacks,Units,1996,1,
Ringtones & Ringbacks,Units,1997,1,
Ringtones & Ringbacks,Units,1998,1,
Ringtones & Ringbacks,Units,1999,1,
Ringtones & Ringbacks,Units,2000,1,
Ringtones & Ringbacks,Units,2001,1,
Ringtones & Ringbacks,Units,2002,1,
Ringtones & Ringbacks,Units,2003,1,
Ringtones & Ringbacks,Units,2004,1,
Ringtones & Ringbacks,Units,2005,1,170
Ringtones & Ringbacks,Units,2006,1,315
Ringtones & Ringbacks,Units,2007,1,433.8
Ringtones & Ringbacks,Units,2008,1,405.1
Ringtones & Ringbacks,Units,2009,1,294.3
Ringtones & Ringbacks,Units,2010,1,188.5
Ringtones & Ringbacks,Units,2011,1,115.4
Ringtones & Ringbacks,Units,2012,1,58.75740356
Ringtones & Ringbacks,Units,2013,1,39.36623578
Ringtones & Ringbacks,Units,2014,1,26.63232368
Ringtones & Ringbacks,Units,2015,1,21.92486605
Ringtones & Ringbacks,Units,2016,1,22.62078539
Ringtones & Ringbacks,Units,2017,1,14.26286994
Ringtones & Ringbacks,Units,2018,1,10.02628673
Ringtones & Ringbacks,Units,2019,1,8.605769716
Paid Subscriptions,Units,1973,1,
Paid Subscriptions,Units,1974,1,
Paid Subscriptions,Units,1975,1,
Paid Subscriptions,Units,1976,1,
Paid Subscriptions,Units,1977,1,
Paid Subscriptions,Units,1978,1,
Paid Subscriptions,Units,1979,1,
Paid Subscriptions,Units,1980,1,
Paid Subscriptions,Units,1981,1,
Paid Subscriptions,Units,1982,1,
Paid Subscriptions,Units,1983,1,
Paid Subscriptions,Units,1984,1,
Paid Subscriptions,Units,1985,1,
Paid Subscriptions,Units,1986,1,
Paid Subscriptions,Units,1987,1,
Paid Subscriptions,Units,1988,1,
Paid Subscriptions,Units,1989,1,
Paid Subscriptions,Units,1990,1,
Paid Subscriptions,Units,1991,1,
Paid Subscriptions,Units,1992,1,
Paid Subscriptions,Units,1993,1,
Paid Subscriptions,Units,1994,1,
Paid Subscriptions,Units,1995,1,
Paid Subscriptions,Units,1996,1,
Paid Subscriptions,Units,1997,1,
Paid Subscriptions,Units,1998,1,
Paid Subscriptions,Units,1999,1,
Paid Subscriptions,Units,2000,1,
Paid Subscriptions,Units,2001,1,
Paid Subscriptions,Units,2002,1,
Paid Subscriptions,Units,2003,1,
Paid Subscriptions,Units,2004,1,
Paid Subscriptions,Units,2005,1,1.3
Paid Subscriptions,Units,2006,1,1.7
Paid Subscriptions,Units,2007,1,1.8
Paid Subscriptions,Units,2008,1,1.6
Paid Subscriptions,Units,2009,1,1.2
Paid Subscriptions,Units,2010,1,1.5
Paid Subscriptions,Units,2011,1,1.8
Paid Subscriptions,Units,2012,1,3.36
Paid Subscriptions,Units,2013,1,6.16
Paid Subscriptions,Units,2014,1,7.73
Paid Subscriptions,Units,2015,1,10.84
Paid Subscriptions,Units,2016,1,22.68
Paid Subscriptions,Units,2017,1,35.27350122
Paid Subscriptions,Units,2018,1,46.91132324
Paid Subscriptions,Units,2019,1,60.38194761
Paid Subscriptions,Units,1973,1,
Paid Subscriptions,Units,1974,1,
Paid Subscriptions,Units,1975,1,
Paid Subscriptions,Units,1976,1,
